id,title,description,genres,imdb_rating,views,ismovie,media_type_name,lang_id,language_name,enhanced_text
138,TVF's Aspirants,UPSC - One of the toughest exams in the world. Nothing comes easy when you are preparing for it as an Aspirant.,"Comedy, Drama",9.0,225569,0,Series/TV Show,2,हिन्दी,"TVF s Aspirants TVF s Aspirants UPSC - One of the toughest exams in the world. Nothing comes easy when you are preparing for it as an Aspirant. UPSC - One of the toughest exams in the world. Nothing comes easy when you are preparing for it as an Aspirant. Comedy Drama film with comedy, drama elements exceptional highly acclaimed masterpiece niche independent content television series episodic show series entertainment content हिन्दी language content language 2 entertainment bollywood hindi indian content"
1618,Inspector Avinash,Episodes: 01-03,"Action, Thriller",9.1,566845,0,Series/TV Show,2,हिन्दी,"Inspector Avinash Inspector Avinash Episodes: 01-03 Episodes: 01-03 Action Thriller film with action, thriller elements exceptional highly acclaimed masterpiece niche independent content television series episodic show series entertainment content हिन्दी language content language 2 entertainment bollywood hindi indian content"
1627,Black Knight,Episodes: 01-06,"Action, Drama, Adventure",6.4,116085,0,Series/TV Show,2,हिन्दी,"Black Knight Black Knight Episodes: 01-06 Episodes: 01-06 Action Drama Adventure film with action, drama, adventure elements average rated content niche independent content television series episodic show series entertainment content हिन्दी language content language 2 entertainment bollywood hindi indian content"
1647,Money Heist,"Season 1:- Episodes: 01-06 When the national mint and a touring school group are held hostage by robbers, police believe that the thieves have no way out. Little do they know that the thieves have a bigger plan in store.","Action, Drama, Thriller",8.2,2346347,0,Series/TV Show,2,हिन्दी,"Money Heist Money Heist Season 1:- Episodes: 01-06 When the national mint and a touring school group are held hostage by robbers, police believe that the thieves have no way out. Little do they know that the thieves have a bigger plan in store. Season 1:- Episodes: 01-06 When the national mint and a touring school group are held hostage by robbers, police believe that the thieves have no way out. Little do they know that the thieves have a bigger plan in store. elements of family Action Drama Thriller film with action, drama, thriller elements excellent highly rated content moderately popular content television series episodic show series entertainment content हिन्दी language content language 2 entertainment bollywood hindi indian content"
1648,Money Heist,"Season 1:- Episodes: 07-13 When the national mint and a touring school group are held hostage by robbers, police believe that the thieves have no way out. Little do they know that the thieves have a bigger plan in store.","Action, Drama, Thriller",8.2,5750,0,Series/TV Show,2,हिन्दी,"Money Heist Money Heist Season 1:- Episodes: 07-13 When the national mint and a touring school group are held hostage by robbers, police believe that the thieves have no way out. Little do they know that the thieves have a bigger plan in store. Season 1:- Episodes: 07-13 When the national mint and a touring school group are held hostage by robbers, police believe that the thieves have no way out. Little do they know that the thieves have a bigger plan in store. elements of family Action Drama Thriller film with action, drama, thriller elements excellent highly rated content niche independent content television series episodic show series entertainment content हिन्दी language content language 2 entertainment bollywood hindi indian content"
1649,The Playlist,Season 1,"Action, Drama",7.5,9090,0,Series/TV Show,2,हिन्दी,"The Playlist The Playlist Season 1 Season 1 elements of family Action Drama film with action, drama elements very good well received content niche independent content television series episodic show series entertainment content हिन्दी language content language 2 entertainment bollywood hindi indian content"
1724,Happy Family S1 - E5 to E6,"Meet the Dholakias, a family of four generations living under one roof, as they navigate the ups and downs of their lives. While they appear to be picture perfect, they are endearingly, heartbreakingly human, each with their unique quirks and quibbles. Follow their journey as they try their best to navigate through all the things life throws at them.","Comedy, Drama",6.4,20089571,0,Series/TV Show,2,हिन्दी,"Happy Family S1 - E5 to E6 Happy Family S1 - E5 to E6 Meet the Dholakias, a family of four generations living under one roof, as they navigate the ups and downs of their lives. While they appear to be picture perfect, they are endearingly, heartbreakingly human, each with their unique quirks and quibbles. Follow their journey as they try their best to navigate through all the things life throws at them. Meet the Dholakias, a family of four generations living under one roof, as they navigate the ups and downs of their lives. While they appear to be picture perfect, they are endearingly, heartbreakingly human, each with their unique quirks and quibbles. Follow their journey as they try their best to navigate through all the things life throws at them. dramatic emotional storytelling elements of romance elements of adventure Comedy Drama film with comedy, drama elements average rated content popular well known content television series episodic show series entertainment content हिन्दी language content language 2 entertainment bollywood hindi indian content family oriented story regional blockbuster crossover potential"
1726,Happy Family S1 - E1 to E4,"Meet the Dholakias, a family of four generations living under one roof, as they navigate the ups and downs of their lives. While they appear to be picture perfect, they are endearingly, heartbreakingly human, each with their unique quirks and quibbles. Follow their journey as they try their best to navigate through all the things life throws at them.","Comedy, Drama",6.4,20089604,0,Series/TV Show,2,हिन्दी,"Happy Family S1 - E1 to E4 Happy Family S1 - E1 to E4 Meet the Dholakias, a family of four generations living under one roof, as they navigate the ups and downs of their lives. While they appear to be picture perfect, they are endearingly, heartbreakingly human, each with their unique quirks and quibbles. Follow their journey as they try their best to navigate through all the things life throws at them. Meet the Dholakias, a family of four generations living under one roof, as they navigate the ups and downs of their lives. While they appear to be picture perfect, they are endearingly, heartbreakingly human, each with their unique quirks and quibbles. Follow their journey as they try their best to navigate through all the things life throws at them. dramatic emotional storytelling elements of romance elements of adventure Comedy Drama film with comedy, drama elements average rated content popular well known content television series episodic show series entertainment content हिन्दी language content language 2 entertainment bollywood hindi indian content family oriented story regional blockbuster crossover potential"
1862,School of Lies,Nimrat K. | Sonali K.,Drama,6.2,37370518,0,Series/TV Show,2,हिन्दी,School of Lies School of Lies Nimrat K.   Sonali K. Nimrat K.   Sonali K. elements of family Drama film with drama elements average rated content popular well known content television series episodic show series entertainment content हिन्दी language content language 2 entertainment bollywood hindi indian content regional blockbuster crossover potential
1863,Scoop,"Hansal Mehta, Karishma Tanna, Prosenjit Chatterjee, Harman Baweja","Action, Drama, Thriller",7.4,39287808,0,Series/TV Show,2,हिन्दी,"Scoop Scoop Hansal Mehta, Karishma Tanna, Prosenjit Chatterjee, Harman Baweja Hansal Mehta, Karishma Tanna, Prosenjit Chatterjee, Harman Baweja Action Drama Thriller film with action, drama, thriller elements good quality rated content popular well known content television series episodic show series entertainment content हिन्दी language content language 2 entertainment bollywood hindi indian content regional blockbuster crossover potential"
1883,Pop Kaun?,Season:- 01  Episodes :- 01-06,"Comedy, Drama",6.3,13107676,0,Series/TV Show,2,हिन्दी,"Pop Kaun? Pop Kaun? Season:- 01 Episodes :- 01-06 Season:- 01 Episodes :- 01-06 elements of family Comedy Drama film with comedy, drama elements average rated content popular well known content television series episodic show series entertainment content हिन्दी language content language 2 entertainment bollywood hindi indian content regional blockbuster crossover potential"
1903,Rana Naidu,Season :-01 Episodes :- 01-10,"Action, Drama, Crime",7.2,34136135,0,Series/TV Show,2,हिन्दी,"Rana Naidu Rana Naidu Season :-01 Episodes :- 01-10 Season :-01 Episodes :- 01-10 elements of family Action Drama Crime film with action, drama, crime elements good quality rated content popular well known content television series episodic show series entertainment content हिन्दी language content language 2 entertainment bollywood hindi indian content regional blockbuster crossover potential"
